,County,Region,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
1,ANDERSON,004,650,528,6
2,ANDREWS,009,234,195,3
3,ANGELINA,005,1121,920,9
4,ARANSAS,011,388,338,0
5,ARCHER,002,51,46,0
6,ARMSTRONG,001,14,11,0
7,ATASCOSA,008,624,482,5
8,AUSTIN,006,277,218,3
9,BAILEY,001,73,66,0
10,BANDERA,008,226,166,0
11,BASTROP,007,1221,958,10
12,BAYLOR,002,61,54,0
13,BEE,011,467,382,7
14,BELL,007,5018,4396,47
15,BEXAR,008,24110,17104,178
16,BLANCO,007,79,65,0
17,BORDEN,009,6,5,0
18,BOSQUE,007,161,142,0
19,BOWIE,004,1114,941,10
20,BRAZORIA,006,2592,2203,25
21,BRAZOS,007,1487,1270,14
22,BREWSTER,010,63,49,1
23,BRISCOE,001,12,11,0
24,BROOKS,011,139,115,0
25,BROWN,002,639,482,5
26,BURLESON,007,248,202,0
27,BURNET,007,551,475,9
28,CALDWELL,007,591,468,6
29,CALHOUN,008,223,160,3
30,CALLAHAN,002,212,191,0
31,CAMERON,011,5289,4096,46
32,CAMP,004,155,136,0
33,CARSON,001,53,47,0
34,CASS,004,355,295,5
35,CASTRO,001,51,40,1
36,CHAMBERS,006,330,275,0
37,CHEROKEE,004,637,549,6
38,CHILDRESS,001,69,57,4
39,CLAY,002,64,58,0
40,COCHRAN,001,31,27,0
41,COKE,009,48,37,0
42,COLEMAN,002,110,95,0
43,COLLIN,003,5007,4157,44
44,COLLINGSWORTH,001,39,35,0
45,COLORADO,006,160,139,0
46,COMAL,008,1158,889,8
47,COMANCHE,002,132,121,0
48,CONCHO,009,30,24,0
49,COOKE,003,614,578,6
50,CORYELL,007,1111,993,9
51,COTTLE,002,16,13,0
52,CRANE,009,41,31,0
53,CROCKETT,009,58,54,0
54,CROSBY,001,105,85,0
55,CULBERSON,010,26,20,0
56,DALLAM,001,107,88,0
57,DALLAS,003,23981,21080,197
58,DAWSON,009,184,158,0
59,DEAF SMITH,001,240,193,1
60,DELTA,004,50,41,0
61,DENTON,003,4989,4221,42
62,DE WITT,008,273,211,3
63,DICKENS,001,31,26,0
64,DIMMIT,008,142,119,0
65,DONLEY,001,50,49,0
66,DUVAL,011,131,111,0
67,EASTLAND,002,253,220,5
68,ECTOR,009,2067,1784,20
69,EDWARDS,008,21,19,0
70,ELLIS,003,1465,1288,14
71,EL PASO,010,7632,5906,67
