,County,Region,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed
1,ANDERSON,004,437,130,29.7%,272,32,3,307,70.3%
2,ANDREWS,009,145,34,23.4%,100,10,1,111,76.6%
3,ANGELINA,005,817,207,25.3%,487,123,0,610,74.7%
4,ARANSAS,011,268,88,32.8%,149,26,5,180,67.2%
5,ARCHER,002,44,8,18.2%,35,1,0,36,81.8%
6,ARMSTRONG,001,8,2,25.0%,6,0,0,6,75.0%
7,ATASCOSA,008,385,111,28.8%,270,4,0,274,71.2%
8,AUSTIN,006,164,27,16.5%,127,8,2,137,83.5%
9,BAILEY,001,51,5,9.8%,42,1,3,46,90.2%
10,BANDERA,008,130,31,23.8%,90,8,1,99,76.2%
11,BASTROP,007,711,147,20.7%,502,52,10,564,79.3%
12,BAYLOR,002,44,13,29.5%,30,1,0,31,70.5%
13,BEE,011,300,73,24.3%,203,23,1,227,75.7%
14,BELL,007,3273,661,20.2%,2483,97,32,2612,79.8%
15,BEXAR,008,13790,2942,21.3%,9954,748,146,10848,78.7%
16,BLANCO,007,64,14,21.9%,45,4,1,50,78.1%
17,BORDEN,009,3,0,0.0%,2,1,0,3,100.0%
18,BOSQUE,007,124,33,26.6%,87,3,1,91,73.4%
19,BOWIE,004,840,169,20.1%,545,95,31,671,79.9%
20,BRAZORIA,006,1810,362,20.0%,1219,190,39,1448,80.0%
21,BRAZOS,007,1038,229,22.1%,726,73,10,809,77.9%
22,BREWSTER,010,37,12,32.4%,24,1,0,25,67.6%
23,BRISCOE,001,10,2,20.0%,8,0,0,8,80.0%
24,BROOKS,011,106,19,17.9%,80,4,3,87,82.1%
25,BROWN,002,352,103,29.3%,221,27,1,249,70.7%
26,BURLESON,007,143,29,20.3%,112,2,0,114,79.7%
27,BURNET,007,367,98,26.7%,249,20,0,269,73.3%
28,CALDWELL,007,373,118,31.6%,218,35,2,255,68.4%
29,CALHOUN,008,159,36,22.6%,109,11,3,123,77.4%
30,CALLAHAN,002,128,28,21.9%,86,14,0,100,78.1%
31,CAMERON,011,3465,736,21.2%,2455,255,19,2729,78.8%
32,CAMP,004,119,28,23.5%,87,4,0,91,76.5%
33,CARSON,001,26,10,38.5%,13,3,0,16,61.5%
34,CASS,004,238,63,26.5%,152,22,1,175,73.5%
35,CASTRO,001,29,7,24.1%,19,3,0,22,75.9%
36,CHAMBERS,006,220,68,30.9%,130,17,5,152,69.1%
37,CHEROKEE,004,450,105,23.3%,315,27,3,345,76.7%
38,CHILDRESS,001,45,11,24.4%,25,9,0,34,75.6%
39,CLAY,002,70,16,22.9%,47,7,0,54,77.1%
40,COCHRAN,001,32,5,15.6%,27,0,0,27,84.4%
41,COKE,009,32,7,21.9%,22,2,1,25,78.1%
42,COLEMAN,002,77,27,35.1%,46,3,1,50,64.9%
43,COLLIN,003,3102,807,26.0%,1692,514,89,2295,74.0%
44,COLLINGSWORTH,001,25,4,16.0%,16,4,1,21,84.0%
45,COLORADO,006,107,21,19.6%,77,8,1,86,80.4%
46,COMAL,008,786,270,34.4%,453,61,2,516,65.6%
47,COMANCHE,002,89,23,25.8%,65,0,1,66,74.2%
48,CONCHO,009,19,3,15.8%,14,2,0,16,84.2%
49,COOKE,003,432,125,28.9%,263,33,11,307,71.1%
50,CORYELL,007,818,192,23.5%,604,17,5,626,76.5%
51,COTTLE,002,14,6,42.9%,7,1,0,8,57.1%
52,CRANE,009,26,9,34.6%,13,4,0,17,65.4%
53,CROCKETT,009,37,9,24.3%,26,2,0,28,75.7%
54,CROSBY,001,61,22,36.1%,35,4,0,39,63.9%
55,CULBERSON,010,11,4,36.4%,7,0,0,7,63.6%
56,DALLAM,001,67,17,25.4%,45,4,1,50,74.6%
57,DALLAS,003,14077,3638,25.8%,8320,1835,284,10439,74.2%
58,DAWSON,009,98,21,21.4%,61,11,5,77,78.6%
59,DEAF SMITH,001,154,42,27.3%,105,5,2,112,72.7%
60,DELTA,004,31,7,22.6%,20,4,0,24,77.4%
61,DENTON,003,3432,591,17.2%,2269,495,77,2841,82.8%
62,DE WITT,008,157,32,20.4%,121,4,0,125,79.6%
63,DICKENS,001,12,0,0.0%,8,3,1,12,100.0%
64,DIMMIT,008,100,21,21.0%,77,1,1,79,79.0%
65,DONLEY,001,24,3,12.5%,19,2,0,21,87.5%
66,DUVAL,011,93,26,28.0%,61,4,2,67,72.0%
67,EASTLAND,002,178,37,20.8%,131,10,0,141,79.2%
68,ECTOR,009,1434,303,21.1%,1005,95,31,1131,78.9%
69,EDWARDS,008,11,3,27.3%,8,0,0,8,72.7%
70,ELLIS,003,992,258,26.0%,564,155,15,734,74.0%
71,EL PASO,010,4805,1174,24.4%,3209,372,50,3631,75.6%
72,ERATH,003,236,83,35.2%,133,16,4,153,64.8%
73,FALLS,007,143,35,24.5%,98,8,2,108,75.5%
74,FANNIN,003,231,60,26.0%,147,21,3,171,74.0%
75,FAYETTE,007,150,44,29.3%,101,4,1,106,70.7%
76,FISHER,002,30,13,43.3%,17,0,0,17,56.7%
77,FLOYD,001,42,14,33.3%,25,3,0,28,66.7%
78,FOARD,002,8,2,25.0%,6,0,0,6,75.0%
79,FORT BEND,006,2270,443,19.5%,1279,461,87,1827,80.5%
80,FRANKLIN,004,68,27,39.7%,32,7,2,41,60.3%
81,FREESTONE,007,136,17,12.5%,110,9,0,119,87.5%
82,FRIO,008,198,55,27.8%,140,2,1,143,72.2%
