,County,Region,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***
1,ANDERSON,004,720,490,426,94,626,36
2,ANDREWS,009,247,180,164,67,180,20
3,ANGELINA,005,1376,985,755,230,1146,77
4,ARANSAS,011,476,319,263,165,311,26
5,ARCHER,002,69,57,55,11,58,2
6,ARMSTRONG,001,11,8,8,6,5,1
7,ATASCOSA,008,698,471,466,189,509,38
8,AUSTIN,006,267,227,204,29,238,8
9,BAILEY,001,89,78,73,4,85,3
10,BANDERA,008,195,145,132,32,163,3
11,BASTROP,007,1152,886,777,143,1009,98
12,BAYLOR,002,73,50,48,3,70,1
13,BEE,011,514,364,328,140,374,36
14,BELL,007,5271,4075,3873,884,4387,413
15,BEXAR,008,23382,17695,16094,4479,18903,942
16,BLANCO,007,103,80,68,17,86,3
17,BORDEN,009,3,3,2,0,3,0
18,BOSQUE,007,223,157,153,46,177,33
19,BOWIE,004,1377,1070,854,173,1204,72
20,BRAZORIA,006,2944,2227,1814,542,2402,52
21,BRAZOS,007,1713,1275,1134,123,1590,21
22,BREWSTER,010,57,40,39,0,57,0
23,BRISCOE,001,19,14,14,3,16,0
24,BROOKS,011,185,148,136,41,144,4
25,BROWN,002,599,404,357,162,437,60
26,BURLESON,007,203,153,151,19,184,15
27,BURNET,007,570,396,369,83,487,47
28,CALDWELL,007,614,398,333,111,503,45
29,CALHOUN,008,261,205,182,44,217,7
30,CALLAHAN,002,207,166,143,33,174,7
31,CAMERON,011,5973,4425,3899,1653,4320,223
32,CAMP,004,201,148,141,27,174,17
33,CARSON,001,41,25,19,10,31,4
34,CASS,004,365,263,231,69,296,51
35,CASTRO,001,42,30,26,13,29,2
36,CHAMBERS,006,361,242,199,90,271,13
37,CHEROKEE,004,744,542,486,135,609,67
38,CHILDRESS,001,84,66,46,14,70,4
39,CLAY,002,116,89,79,19,97,1
40,COCHRAN,001,58,44,44,7,51,0
41,COKE,009,56,41,38,6,50,3
