,County,Region,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed
1,ANDERSON,004,11551,214,18.5,437,130,29.7%
2,ANDREWS,009,4614,55,11.9,145,34,23.4%
3,ANGELINA,005,23755,338,14.2,817,207,25.3%
4,ARANSAS,011,4533,148,32.6,268,88,32.8%
5,ARCHER,002,2085,12,5.8,44,8,18.2%
6,ARMSTRONG,001,369,3,8.1,8,2,25.0%
7,ATASCOSA,008,13517,209,15.5,385,111,28.8%
8,AUSTIN,006,7706,36,4.7,164,27,16.5%
9,BAILEY,001,2391,9,3.8,51,5,9.8%
10,BANDERA,008,3914,46,11.8,130,31,23.8%
11,BASTROP,007,21662,242,11.2,711,147,20.7%
12,BAYLOR,002,758,19,25.1,44,13,29.5%
13,BEE,011,6889,130,18.9,300,73,24.3%
14,BELL,007,100813,1069,10.6,3273,661,20.2%
15,BEXAR,008,496981,4941,9.9,13790,2942,21.3%
16,BLANCO,007,2263,23,10.2,64,14,21.9%
17,BORDEN,009,115,0,0.0,3,0,0.0%
18,BOSQUE,007,4113,56,13.6,124,33,26.6%
19,BOWIE,004,21861,270,12.4,840,169,20.1%
20,BRAZORIA,006,97607,641,6.6,1810,362,20.0%
21,BRAZOS,007,49385,378,7.7,1038,229,22.1%
22,BREWSTER,010,2083,17,8.2,37,12,32.4%
23,BRISCOE,001,354,4,11.3,10,2,20.0%
24,BROOKS,011,2041,29,14.2,106,19,17.9%
25,BROWN,002,9180,180,19.6,352,103,29.3%
26,BURLESON,007,4120,47,11.4,143,29,20.3%
27,BURNET,007,10348,153,14.8,367,98,26.7%
28,CALDWELL,007,10380,190,18.3,373,118,31.6%
29,CALHOUN,008,5931,52,8.8,159,36,22.6%
30,CALLAHAN,002,3234,38,11.8,128,28,21.9%
31,CAMERON,011,143894,1371,9.5,3465,736,21.2%
32,CAMP,004,3427,51,14.9,119,28,23.5%
33,CARSON,001,1506,14,9.3,26,10,38.5%
34,CASS,004,6997,96,13.7,238,63,26.5%
35,CASTRO,001,2491,11,4.4,29,7,24.1%
36,CHAMBERS,006,10845,110,10.1,220,68,30.9%
37,CHEROKEE,004,13835,184,13.3,450,105,23.3%
38,CHILDRESS,001,1510,17,11.3,45,11,24.4%
39,CLAY,002,2386,25,10.5,70,16,22.9%
40,COCHRAN,001,881,13,14.8,32,5,15.6%
41,COKE,009,618,11,17.8,32,7,21.9%
42,COLEMAN,002,1938,41,21.2,77,27,35.1%
43,COLLIN,003,254505,1297,5.1,3102,807,26.0%
44,COLLINGSWORTH,001,831,6,7.2,25,4,16.0%
45,COLORADO,006,4953,35,7.1,107,21,19.6%
46,COMAL,008,28014,489,17.5,786,270,34.4%
47,COMANCHE,002,3372,34,10.1,89,23,25.8%
48,CONCHO,009,592,4,6.8,19,3,15.8%
49,COOKE,003,9766,225,23.0,432,125,28.9%
50,CORYELL,007,23635,341,14.4,818,192,23.5%
51,COTTLE,002,359,8,22.3,14,6,42.9%
52,CRANE,009,1311,17,13.0,26,9,34.6%
53,CROCKETT,009,988,12,12.1,37,9,24.3%
54,CROSBY,001,1808,52,28.8,61,22,36.1%
55,CULBERSON,010,679,6,8.8,11,4,36.4%
56,DALLAM,001,2195,34,15.5,67,17,25.4%
57,DALLAS,003,680491,5847,8.6,14077,3638,25.8%
58,DAWSON,009,3420,33,9.6,98,21,21.4%
59,DEAF SMITH,001,6620,79,11.9,154,42,27.3%
60,DELTA,004,1124,12,10.7,31,7,22.6%
61,DENTON,003,208025,902,4.3,3432,591,17.2%
62,DE WITT,008,4499,63,14.0,157,32,20.4%
