,County,Region,Total,Hispanic,Anglo,African American,Other*,Asian,Native American
1,ANDERSON,004,214,40,106,51,17,0,0
2,ANDREWS,009,55,32,20,2,1,0,0
3,ANGELINA,005,338,45,207,57,28,1,0
4,ARANSAS,011,148,53,62,19,14,0,0
5,ARCHER,002,12,1,8,0,3,0,0
6,ARMSTRONG,001,3,2,1,0,0,0,0
7,ATASCOSA,008,209,144,53,2,9,0,1
8,AUSTIN,006,36,15,16,2,3,0,0
9,BAILEY,001,9,7,2,0,0,0,0
10,BANDERA,008,46,7,35,3,1,0,0
11,BASTROP,007,242,106,83,37,13,2,1
12,BAYLOR,002,19,3,11,0,5,0,0
13,BEE,011,130,107,16,1,6,0,0
14,BELL,007,1069,273,365,293,124,12,2
15,BEXAR,008,4941,3636,675,436,178,10,6
16,BLANCO,007,23,4,19,0,0,0,0
17,BORDEN,009,0,0,0,0,0,0,0
18,BOSQUE,007,56,26,27,3,0,0,0
19,BOWIE,004,270,9,148,82,31,0,0
20,BRAZORIA,006,641,236,301,70,28,2,4
21,BRAZOS,007,378,115,118,112,30,2,1
22,BREWSTER,010,17,10,7,0,0,0,0
23,BRISCOE,001,4,1,3,0,0,0,0
24,BROOKS,011,29,29,0,0,0,0,0
25,BROWN,002,180,36,115,15,14,0,0
26,BURLESON,007,47,4,29,8,6,0,0
27,BURNET,007,153,50,91,2,10,0,0
28,CALDWELL,007,190,108,60,13,9,0,0
29,CALHOUN,008,52,30,21,0,1,0,0
30,CALLAHAN,002,38,10,26,0,2,0,0
31,CAMERON,011,1371,1308,47,4,12,0,0
32,CAMP,004,51,11,20,9,11,0,0
33,CARSON,001,14,1,9,1,3,0,0
34,CASS,004,96,0,64,23,9,0,0
35,CASTRO,001,11,4,7,0,0,0,0
36,CHAMBERS,006,110,13,74,18,4,1,0
37,CHEROKEE,004,184,45,97,29,13,0,0
38,CHILDRESS,001,17,9,7,1,0,0,0
39,CLAY,002,25,0,25,0,0,0,0
40,COCHRAN,001,13,12,1,0,0,0,0
41,COKE,009,11,4,7,0,0,0,0
42,COLEMAN,002,41,8,31,0,2,0,0
43,COLLIN,003,1297,323,607,217,106,43,1
44,COLLINGSWORTH,001,6,2,3,1,0,0,0
45,COLORADO,006,35,17,9,6,3,0,0
46,COMAL,008,489,258,200,10,21,0,0
47,COMANCHE,002,34,8,23,1,2,0,0
48,CONCHO,009,4,0,4,0,0,0,0
49,COOKE,003,225,54,143,14,12,0,2
50,CORYELL,007,341,51,184,59,41,6,0
51,COTTLE,002,8,4,4,0,0,0,0
52,CRANE,009,17,13,4,0,0,0,0
53,CROCKETT,009,12,7,5,0,0,0,0
54,CROSBY,001,52,39,6,5,2,0,0
55,CULBERSON,010,6,6,0,0,0,0,0
56,DALLAM,001,34,10,22,0,2,0,0
57,DALLAS,003,5847,2113,1045,2272,338,74,5
58,DAWSON,009,33,24,7,1,1,0,0
59,DEAF SMITH,001,79,67,10,0,2,0,0
60,DELTA,004,12,0,11,0,1,0,0
61,DENTON,003,902,229,417,169,68,14,5
62,DE WITT,008,63,35,18,2,8,0,0
63,DICKENS,001,0,0,0,0,0,0,0
64,DIMMIT,008,41,40,1,0,0,0,0
65,DONLEY,001,4,1,3,0,0,0,0
66,DUVAL,011,39,36,3,0,0,0,0
67,EASTLAND,002,67,9,54,3,1,0,0
68,ECTOR,009,498,268,155,52,22,0,1
69,EDWARDS,008,6,4,2,0,0,0,0
70,ELLIS,003,444,126,238,55,23,2,0
71,EL PASO,010,1994,1582,217,112,70,11,2
72,ERATH,003,133,45,81,0,7,0,0
73,FALLS,007,53,13,24,12,4,0,0
74,FANNIN,003,108,17,71,9,11,0,0
75,FAYETTE,007,70,31,23,6,10,0,0
76,FISHER,002,23,5,14,0,4,0,0
77,FLOYD,001,31,31,0,0,0,0,0
78,FOARD,002,4,4,0,0,0,0,0
79,FORT BEND,006,670,282,119,214,34,19,2
80,FRANKLIN,004,43,4,36,1,2,0,0
81,FREESTONE,007,44,6,29,5,4,0,0
82,FRIO,008,127,112,14,1,0,0,0
83,GAINES,009,34,22,10,0,2,0,0
84,GALVESTON,006,705,196,309,142,58,0,0
85,GARZA,001,20,10,9,1,0,0,0
86,GILLESPIE,008,70,31,30,0,5,4,0
87,GLASSCOCK,009,2,0,1,0,1,0,0
88,GOLIAD,008,10,7,2,1,0,0,0
89,GONZALES,008,54,38,11,3,2,0,0
90,GRAY,001,93,10,76,1,6,0,0
91,GRAYSON,003,675,106,410,69,79,1,10
92,GREGG,004,584,74,320,134,55,0,1
93,GRIMES,007,66,27,22,13,4,0,0
94,GUADALUPE,008,393,224,127,26,15,1,0
95,HALE,001,172,124,26,12,10,0,0
96,HALL,001,15,14,1,0,0,0,0
97,HAMILTON,007,19,1,17,0,1,0,0
98,HANSFORD,001,30,23,5,0,2,0,0
99,HARDEMAN,002,29,2,23,3,1,0,0
100,HARDIN,005,143,6,109,16,12,0,0
101,HARRIS,006,6360,2466,1295,2251,311,35,2
102,HARRISON,004,254,28,136,50,40,0,0
103,HARTLEY,001,7,2,4,1,0,0,0
104,HASKELL,002,12,4,8,0,0,0,0
105,HAYS,007,465,285,152,14,13,1,0
106,HEMPHILL,001,5,0,4,0,1,0,0
107,HENDERSON,004,373,37,271,25,39,1,0
108,HIDALGO,011,2165,2097,33,12,22,0,1
109,HILL,007,128,19,80,16,13,0,0
110,HOCKLEY,001,73,44,26,0,3,0,0
111,HOOD,003,277,39,222,6,10,0,0
112,HOPKINS,004,123,8,91,14,6,0,4
113,HOUSTON,005,120,10,53,53,4,0,0
114,HOWARD,009,124,71,40,4,9,0,0
115,HUDSPETH,010,2,1,1,0,0,0,0
116,HUNT,003,357,55,228,50,24,0,0
117,HUTCHINSON,001,107,20,70,12,5,0,0
118,IRION,009,0,0,0,0,0,0,0
119,JACK,002,54,5,39,0,10,0,0
120,JACKSON,008,25,10,10,5,0,0,0
121,JASPER,005,120,8,86,8,18,0,0
122,JEFF DAVIS,010,1,1,0,0,0,0,0
123,JEFFERSON,005,668,91,186,352,37,2,0
124,JIM HOGG,011,24,24,0,0,0,0,0
125,JIM WELLS,011,162,145,16,0,1,0,0
126,JOHNSON,003,693,122,505,27,28,7,4
127,JONES,002,66,29,35,0,2,0,0
128,KARNES,008,53,46,4,0,3,0,0
129,KAUFMAN,003,289,42,190,43,13,1,0
130,KENDALL,008,43,16,25,0,2,0,0
131,KENEDY,011,2,2,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0
133,KERR,008,151,54,87,7,3,0,0
134,KIMBLE,009,13,4,9,0,0,0,0
135,KING,001,0,0,0,0,0,0,0
136,KINNEY,008,6,3,3,0,0,0,0
137,KLEBERG,011,96,84,9,3,0,0,0
138,KNOX,002,9,6,3,0,0,0,0
139,LAMAR,004,242,17,169,30,24,2,0
140,LAMB,001,52,38,3,3,8,0,0
141,LAMPASAS,007,73,15,51,2,5,0,0
142,LA SALLE,008,27,26,1,0,0,0,0
143,LAVACA,008,27,12,11,2,2,0,0
144,LEE,007,24,2,18,3,1,0,0
145,LEON,007,22,1,19,1,1,0,0
146,LIBERTY,006,302,30,221,33,18,0,0
147,LIMESTONE,007,61,14,34,8,5,0,0
148,LIPSCOMB,001,2,0,2,0,0,0,0
149,LIVE OAK,011,60,48,12,0,0,0,0
150,LLANO,007,82,17,59,0,6,0,0
151,LOVING,009,0,0,0,0,0,0,0
152,LUBBOCK,001,1138,700,262,126,45,4,1
153,LYNN,001,6,3,2,0,1,0,0
154,MADISON,007,28,1,17,7,3,0,0
155,MARION,004,51,2,33,5,11,0,0
156,MARTIN,009,9,4,5,0,0,0,0
157,MASON,009,10,1,6,0,3,0,0
158,MATAGORDA,006,65,25,28,9,3,0,0
159,MAVERICK,008,30,27,0,0,1,0,2
160,MCCULLOCH,009,37,16,18,1,2,0,0
161,MCLENNAN,007,1053,291,406,291,62,3,0
162,MCMULLEN,011,1,0,1,0,0,0,0
163,MEDINA,008,77,49,26,1,1,0,0
164,MENARD,009,6,3,3,0,0,0,0
165,MIDLAND,009,325,147,128,28,21,0,1
166,MILAM,007,122,50,50,18,4,0,0
167,MILLS,007,15,2,13,0,0,0,0
168,MITCHELL,002,29,17,9,2,1,0,0
169,MONTAGUE,002,158,18,126,2,11,0,1
170,MONTGOMERY,006,503,95,341,40,27,0,0
171,MOORE,001,65,37,22,0,0,6,0
172,MORRIS,004,27,0,20,6,1,0,0
173,MOTLEY,001,1,0,1,0,0,0,0
174,NACOGDOCHES,005,157,31,74,30,14,8,0
175,NAVARRO,003,95,26,38,20,9,2,0
176,NEWTON,005,23,3,19,1,0,0,0
177,NOLAN,002,86,59,21,5,1,0,0
178,NUECES,011,1316,1013,202,49,48,4,0
179,OCHILTREE,001,29,6,21,0,0,2,0
180,OLDHAM,001,2,2,0,0,0,0,0
181,ORANGE,005,280,19,207,37,14,3,0
182,PALO PINTO,003,239,50,172,2,15,0,0
183,PANOLA,004,100,5,59,25,11,0,0
184,PARKER,003,442,85,334,2,20,0,1
185,PARMER,001,18,12,6,0,0,0,0
186,PECOS,009,21,12,5,0,3,1,0
187,POLK,005,109,4,88,7,8,1,1
188,POTTER,001,647,267,240,65,57,17,1
189,PRESIDIO,010,18,18,0,0,0,0,0
190,RAINS,004,33,3,25,2,3,0,0
191,RANDALL,001,295,107,145,20,21,1,1
192,REAGAN,009,7,1,2,4,0,0,0
193,REAL,008,13,6,7,0,0,0,0
