,County,Region,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*
1,ANDREWS,009,1,0
2,ANGELINA,005,2,0
3,ATASCOSA,008,1,0
4,BEE,001,1,0
5,BELL,007,4,0
6,BEXAR,008,4,1
7,BRAZORIA,006,3,1
8,BRAZOS,007,2,0
9,CALHOUN,008,3,0
10,CAMERON,001,3,0
11,CHAMBERS,006,1,0
12,COLLIN,003,1,0
13,COOKE,003,1,0
14,DALLAS,003,24,0
15,DENTON,003,2,0
16,EASTLAND,002,1,0
17,ECTOR,009,2,0
18,ELLIS,003,1,0
19,EL PASO,010,4,0
20,FORT BEND,006,3,0
21,FREESTONE,007,1,0
22,GALVESTON,006,2,0
23,GARZA,001,1,0
24,GRAYSON,003,1,0
25,GREGG,004,3,0
26,HALL,001,1,0
27,HARDIN,005,1,0
28,HARRIS,006,25,0
29,HENDERSON,004,1,0
30,HIDALGO,001,8,2
31,HOOD,003,2,0
32,HUNT,003,2,0
33,HUTCHINSON,001,1,0
34,JEFFERSON,005,2,0
35,JOHNSON,003,2,0
36,KAUFMAN,003,2,0
37,LAMAR,004,1,0
38,LEON,007,1,0
39,LUBBOCK,001,2,0
40,MCLENNAN,007,1,0
41,MILAM,007,1,0
42,MONTAGUE,002,1,0
43,NUECES,001,1,1
44,PARKER,003,1,0
45,POTTER,001,1,0
46,RANDALL,001,1,0
47,REAL,008,1,0
48,REEVES,009,1,0
49,ROCKWALL,003,2,0
50,SABINE,005,1,0
51,SHELBY,005,1,0
52,SMITH,004,1,0
53,TARRANT,003,16,0
54,TAYLOR,002,2,0
55,TOM GREEN,009,1,0
56,TRAVIS,007,2,0
57,UVALDE,008,1,0
58,WEBB,011,4,0
59,WICHITA,002,1,0
60,WILBARGER,002,1,0
61,WILLIAMSON,007,4,0
62,WOOD,004,2,0
63,STATE TOTAL,0,171,5
